,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
38,Spotlight,129 min,R,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","45,055,776.00",2015,Spotlight,Best Picture,Spotlight,2016,1
39,The Big Short,130 min,R,"Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.","70,259,870.00",2015,The Big Short,Best Picture,The Big Short,2016,0
40,Bridge of Spies,142 min,PG-13,"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","72,313,754.00",2015,Bridge of Spies,Best Picture,Bridge of Spies,2016,0
41,Mad Max: Fury Road,120 min,R,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","154,058,340.00",2015,Mad Max: Fury Road,Best Picture,Mad Max: Fury Road,2016,0
42,The Revenant,156 min,R,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"183,637,894.00",2015,The Revenant,Best Picture,The Revenant,2016,0
43,The Martian,144 min,PG-13,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","228,433,663.00",2015,The Martian,Best Picture,The Martian,2016,0
44,Whiplash,106 min,R,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"13,092,000.00",2014,Whiplash,Best Picture,Whiplash,2015,0
45,Boyhood,165 min,R,Drama,"The life of Mason, from early childhood to his arrival at college.","25,379,975.00",2014,Boyhood,Best Picture,Boyhood,2015,0
46,The Theory of Everything,123 min,PG-13,"Biography, Drama, Romance",A look at the relationship between the famous physicist Stephen Hawking and his wife.,"35,893,537.00",2014,The Theory of Everything,Best Picture,The Theory of Everything,2015,0
47,Birdman or ,119 min,R,"Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","42,340,598.00",2014,Birdman or (The Unexpected Virtue of Ignorance),Best Picture,Birdman or (The Unexpected Virtue of Ignorance),2015,1
48,Selma,128 min,PG-13,"Biography, Drama, History","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","52,076,908.00",2014,Selma,Best Picture,Selma,2015,0
49,The Grand Budapest Hotel,99 min,R,"Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","59,100,318.00",2014,The Grand Budapest Hotel,Best Picture,The Grand Budapest Hotel,2015,0
50,The Imitation Game,114 min,PG-13,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.","91,125,683.00",2014,The Imitation Game,Best Picture,The Imitation Game,2015,0
