,film,producer,release_year
302,,Robert F. Blumofe and Harold Leventhal,1976
303,,Howard Gottfried,1976
304,,Michael Phillips and Julia Phillips,1976
305,,Charles H. Joffe,1977
306,,Ray Stark,1977
307,,Richard Roth,1977
308,,Gary Kurtz,1977
309,,Herbert Ross and Arthur Laurents,1977
310,,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",1978
311,,Jerome Hellman,1978
312,,Warren Beatty,1978
313,,Alan Marshall and David Puttnam,1978
314,,Paul Mazursky and Anthony Ray,1978
315,,Stanley R. Jaffe,1979
316,,Robert Alan Aurthur,1979
317,,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",1979
318,,Peter Yates,1979
319,,Tamara Asseyev and Alex Rose,1979
320,Ordinary People,Ronald L. Schwary,1980
321,Coal Miner's Daughter,Bernard Schwartz,1980
322,The Elephant Man,Jonathan Sanger,1980
323,Raging Bull,Irwin Winkler and Robert Chartoff,1980
324,Tess,Claude Berri and Timothy Burrill,1980
325,Chariots of Fire,David Puttnam,1981
326,Atlantic City,Denis Héroux,1981
327,On Golden Pond,Bruce Gilbert,1981
328,Raiders of the Lost Ark,Frank Marshall,1981
329,Reds,Warren Beatty,1981
330,Gandhi,Richard Attenborough,1982
331,E.T. the Extra-Terrestrial,Steven Spielberg and Kathleen Kennedy,1982
332,Missing,Edward Lewis and Mildred Lewis,1982
333,Tootsie,Sydney Pollack and Dick Richards,1982
334,The Verdict,Richard D. Zanuck and David Brown,1982
335,Terms of Endearment,James L. Brooks,1983
336,The Big Chill,Michael Shamberg,1983
337,The Dresser,Peter Yates,1983
338,The Right Stuff,Irwin Winkler and Robert Chartoff,1983
339,Tender Mercies,Philip S. Hobel,1983
340,Amadeus,Saul Zaentz,1984
341,The Killing Fields,David Puttnam,1984
342,A Passage to India,John Brabourne and Richard B. Goodwin,1984
343,Places in the Heart,Arlene Donovan,1984
344,A Soldier's Story,"Norman Jewison, Ronald L. Schwary, and Patrick Palmer",1984
345,Out of Africa,Sydney Pollack,1985
346,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",1985
347,Kiss of the Spider Woman,David Weisman,1985
348,Prizzi's Honor,John Foreman,1985
349,Witness,Edward S. Feldman,1985
350,Platoon,Arnold Kopelson,1986
351,Children of a Lesser God,Burt Sugarman and Patrick J. Palmer,1986
352,Hannah and Her Sisters,Robert Greenhut,1986
353,The Mission,Fernando Ghia and David Puttnam,1986
354,A Room with a View,Ismail Merchant,1986
355,The Last Emperor,Jeremy Thomas,1987
356,Broadcast News,James L. Brooks,1987
357,Fatal Attraction,Stanley R. Jaffe and Sherry Lansing,1987
358,Hope and Glory,John Boorman,1987
359,Moonstruck,Patrick J. Palmer and Norman Jewison,1987
360,Rain Man,Mark Johnson,1988
361,The Accidental Tourist,"Lawrence Kasdan, Charles Okun, and Michael Grillo",1988
362,Dangerous Liaisons,Norma Heyman and Hank Moonjean,1988
363,Mississippi Burning,Frederick Zollo and Robert F. Colesberry,1988
364,Working Girl,Douglas Wick,1988
365,Driving Miss Daisy,Richard D. Zanuck and Lili Fini Zanuck,1989
