,title,runtime,rating,genre,summary
96,97.A Serious Man(2009),106 min,R,"Comedy, Drama","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
97,98.An Education(2009),100 min,PG-13,Drama,
98,99.Avatar(2009),162 min,PG-13,"Action, Adventure, Fantasy","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
99,100.District 9(2009),112 min,R,"Action, Sci-Fi, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
0,101.Inglourious Basterds(2009),153 min,R,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
1,102.Precious(II) (2009),110 min,R,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction."
2,103.The Blind Side(2009),129 min,PG-13,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
3,104.Up(2009),96 min,PG,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
4,105.Up in the Air(I) (2009),109 min,R,"Comedy, Drama, Romance","Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model."
5,106.Slumdog Millionaire(2008),120 min,R,"Crime, Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
6,107.The Curious Case of Benjamin Button(2008),166 min,PG-13,"Drama, Fantasy, Romance",
7,108.Frost/Nixon(2008),122 min,R,"Biography, Drama, History","Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
8,109.Milk(I) (2008),128 min,R,"Biography, Crime, Drama",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
9,110.The Reader(2008),124 min,R,"Drama, Romance",The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.
10,111.No Country for Old Men(2007),122 min,R,"Crime, Drama, Thriller","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
11,112.Atonement(2007),123 min,R,"Drama, Mystery, Romance",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
12,113.Juno(2007),96 min,PG-13,"Comedy, Drama",
13,114.Michael Clayton(2007),119 min,R,"Crime, Drama, Mystery",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
14,115.There Will Be Blood(2007),158 min,R,Drama,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child."
