,category,nominee,year,winner
312,Directing,The Thin Man,1935,0.0
313,Film Editing,Eskimo,1935,1.0
314,Film Editing,Cleopatra,1935,0.0
315,Film Editing,One Night of Love,1935,0.0
316,Music (Scoring),One Night of Love,1935,1.0
317,Music (Scoring),The Gay Divorcee,1935,0.0
318,Music (Scoring),The Lost Patrol,1935,0.0
319,Music (Song),The Gay Divorcee,1935,1.0
320,Music (Song),Flying Down to Rio,1935,0.0
321,Music (Song),She Loves Me Not,1935,0.0
322,Outstanding Production,It Happened One Night,1935,1.0
323,Outstanding Production,The Barretts of Wimpole Street,1935,0.0
324,Outstanding Production,Cleopatra,1935,0.0
325,Outstanding Production,Flirtation Walk,1935,0.0
326,Outstanding Production,The Gay Divorcee,1935,0.0
327,Outstanding Production,Here Comes the Navy,1935,0.0
328,Outstanding Production,The House of Rothschild,1935,0.0
329,Outstanding Production,Imitation of Life,1935,0.0
330,Outstanding Production,One Night of Love,1935,0.0
331,Outstanding Production,The Thin Man,1935,0.0
332,Outstanding Production,Viva Villa!,1935,0.0
333,Outstanding Production,The White Parade,1935,0.0
334,Short Subject (Cartoon),The Tortoise and the Hare,1935,1.0
335,Short Subject (Cartoon),Holiday Land,1935,0.0
336,Short Subject (Cartoon),Jolly Little Elves,1935,0.0
337,Short Subject (Comedy),La Cucaracha,1935,1.0
338,Short Subject (Comedy),Men in Black,1935,0.0
339,Short Subject (Comedy),"What, No Men!",1935,0.0
340,Short Subject (Novelty),City of Wax,1935,1.0
341,Short Subject (Novelty),Bosom Friends,1935,0.0
342,Short Subject (Novelty),Strikes and Spares,1935,0.0
343,Sound Recording,One Night of Love,1935,1.0
344,Sound Recording,The Affairs of Cellini,1935,0.0
345,Sound Recording,Cleopatra,1935,0.0
346,Sound Recording,Flirtation Walk,1935,0.0
347,Sound Recording,The Gay Divorcee,1935,0.0
348,Sound Recording,Imitation of Life,1935,0.0
349,Sound Recording,Viva Villa!,1935,0.0
350,Sound Recording,The White Parade,1935,0.0
351,Writing (Adaptation),It Happened One Night,1935,1.0
352,Writing (Adaptation),The Thin Man,1935,0.0
353,Writing (Adaptation),Viva Villa!,1935,0.0
354,Writing (Original Story),Manhattan Melodrama,1935,1.0
355,Writing (Original Story),Hide-Out,1935,0.0
356,Writing (Original Story),The Richest Girl in the World,1935,0.0
357,Actor,Victor McLaglen,1936,1.0
358,Actor,Clark Gable,1936,1.0
359,Actor,Charles Laughton,1936,1.0
360,Actor,Paul Muni,1936,1.0
361,Actor,Franchot Tone,1936,0.0
362,Actress,Bette Davis,1936,1.0
364,Actress,Elisabeth Bergner,1936,0.0
365,Actress,Claudette Colbert,1936,1.0
366,Actress,Katharine Hepburn,1936,1.0
369,Actress,Miriam Hopkins,1936,0.0
370,Actress,Merle Oberon,1936,0.0
371,Art Direction,The Dark Angel,1936,1.0
372,Art Direction,The Lives of a Bengal Lancer,1936,0.0
373,Art Direction,Top Hat,1936,0.0
374,Assistant Director,The Lives of a Bengal Lancer,1936,1.0
375,Assistant Director,David Copperfield,1936,0.0
376,Assistant Director,Les Miserables,1936,0.0
377,Assistant Director,A Midsummer Night's Dream,1936,0.0
378,Cinematography,A Midsummer Night's Dream,1936,1.0
379,Cinematography,Barbary Coast,1936,0.0
380,Cinematography,The Crusades,1936,0.0
381,Cinematography,Les Miserables,1936,0.0
382,Dance Direction,Broadway Melody of 1936,1936,1.0
383,Dance Direction,Folies Bergere,1936,0.0
384,Dance Direction,Gold Diggers of 1935,1936,0.0
386,Dance Direction,Go into Your Dance,1936,0.0
387,Dance Direction,Broadway Hostess,1936,0.0
388,Dance Direction,King of Burlesque,1936,0.0
390,Dance Direction,Top Hat,1936,0.0
392,Dance Direction,Big Broadcast of 1936,1936,0.0
393,Dance Direction,All the King's Horses,1936,0.0
394,Dance Direction,She,1936,0.0
395,Directing,The Informer,1936,1.0
396,Directing,Captain Blood,1936,0.0
397,Directing,The Lives of a Bengal Lancer,1936,0.0
398,Directing,Mutiny on the Bounty,1936,0.0
399,Film Editing,A Midsummer Night's Dream,1936,1.0
400,Film Editing,David Copperfield,1936,0.0
401,Film Editing,The Informer,1936,0.0
402,Film Editing,Les Miserables,1936,0.0
403,Film Editing,The Lives of a Bengal Lancer,1936,0.0
404,Film Editing,Mutiny on the Bounty,1936,0.0
405,Music (Scoring),The Informer,1936,1.0
406,Music (Scoring),Captain Blood,1936,0.0
407,Music (Scoring),Mutiny on the Bounty,1936,0.0
408,Music (Scoring),Peter Ibbetson,1936,0.0
409,Music (Song),Gold Diggers of 1935,1936,1.0
410,Music (Song),Top Hat,1936,0.0
411,Music (Song),Roberta,1936,0.0
412,Outstanding Production,Mutiny on the Bounty,1936,1.0
413,Outstanding Production,Alice Adams,1936,0.0
414,Outstanding Production,Broadway Melody of 1936,1936,0.0
415,Outstanding Production,Captain Blood,1936,0.0
416,Outstanding Production,David Copperfield,1936,0.0
417,Outstanding Production,The Informer,1936,0.0
418,Outstanding Production,Les Miserables,1936,0.0
419,Outstanding Production,The Lives of a Bengal Lancer,1936,0.0
420,Outstanding Production,A Midsummer Night's Dream,1936,0.0
421,Outstanding Production,Naughty Marietta,1936,0.0
422,Outstanding Production,Ruggles of Red Gap,1936,0.0
423,Outstanding Production,Top Hat,1936,0.0
424,Short Subject (Cartoon),Three Orphan Kittens,1936,1.0
425,Short Subject (Cartoon),The Calico Dragon,1936,0.0
426,Short Subject (Cartoon),Who Killed Cock Robin?,1936,0.0
427,Short Subject (Comedy),How to Sleep,1936,1.0
428,Short Subject (Comedy),"Oh, My Nerves",1936,0.0
429,Short Subject (Comedy),Tit for Tat,1936,0.0
430,Short Subject (Novelty),Wings over Mt. Everest,1936,1.0
431,Short Subject (Novelty),Audioscopiks,1936,0.0
432,Short Subject (Novelty),Camera Thrills,1936,0.0
433,Sound Recording,Naughty Marietta,1936,1.0
434,Sound Recording,Bride of Frankenstein,1936,0.0
435,Sound Recording,Captain Blood,1936,0.0
436,Sound Recording,The Dark Angel,1936,0.0
437,Sound Recording,I Dream Too Much,1936,0.0
438,Sound Recording,The Lives of a Bengal Lancer,1936,0.0
439,Sound Recording,Love Me Forever,1936,0.0
440,Sound Recording,"$1,000 a Minute",1936,0.0
441,Sound Recording,Thanks a Million,1936,0.0
442,Writing (Original Story),The Scoundrel,1936,1.0
443,Writing (Original Story),Broadway Melody of 1936,1936,0.0
444,Writing (Original Story),G-Men,1936,0.0
445,Writing (Original Story),The Gay Deception,1936,0.0
446,Writing (Screenplay),The Informer,1936,1.0
447,Writing (Screenplay),Captain Blood,1936,0.0
448,Writing (Screenplay),The Lives of a Bengal Lancer,1936,0.0
449,Writing (Screenplay),Mutiny on the Bounty,1936,0.0
450,Actor,Paul Muni,1937,1.0
451,Actor,Gary Cooper,1937,1.0
453,Actor,Walter Huston,1937,0.0
454,Actor,William Powell,1937,0.0
455,Actor,Spencer Tracy,1937,1.0
457,Actor in a Supporting Role,Walter Brennan,1937,1.0
460,Actor in a Supporting Role,Mischa Auer,1937,0.0
461,Actor in a Supporting Role,Stuart Erwin,1937,0.0
462,Actor in a Supporting Role,Basil Rathbone,1937,0.0
463,Actor in a Supporting Role,Akim Tamiroff,1937,0.0
464,Actress,Luise Rainer,1937,1.0
466,Actress,Irene Dunne,1937,0.0
467,Actress,Gladys George,1937,0.0
468,Actress,Carole Lombard,1937,0.0
