,film,film_studio,film_studio/producer(s),producer(s),films,oscars_year
332,,,,Francis Ford Coppola and Gary Kurtz,American Graffiti,1973
333,,,,Ingmar Bergman,Cries and Whispers,1973
334,,,,William Peter Blatty,The Exorcist,1973
335,,,,Melvin Frank,A Touch of Class,1973
336,,,,,,1974
337,,,,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",The Godfather Part II,1974
338,,,,Robert Evans,Chinatown,1974
339,,,,Francis Ford Coppola,The Conversation,1974
340,,,,Marvin Worth,Lenny,1974
341,,,,Irwin Allen,The Towering Inferno,1974
342,,,,,,1975
343,,,,Michael Douglas and Saul Zaentz,One Flew Over the Cuckoo's Nest,1975
344,,,,Stanley Kubrick,Barry Lyndon,1975
345,,,,Martin Bregman and Martin Elfand,Dog Day Afternoon,1975
346,,,,Richard D. Zanuck and David Brown,Jaws,1975
347,,,,Robert Altman,Nashville,1975
348,,,,,,1976
349,,,,Irwin Winkler and Robert Chartoff,Rocky,1976
350,,,,Walter Coblenz,All the President's Men,1976
351,,,,Robert F. Blumofe and Harold Leventhal,Bound for Glory,1976
352,,,,Howard Gottfried,Network,1976
353,,,,Michael Phillips and Julia Phillips,Taxi Driver,1976
354,,,,,,1977
355,,,,Charles H. Joffe,Annie Hall,1977
356,,,,Ray Stark,The Goodbye Girl,1977
357,,,,Richard Roth,Julia,1977
358,,,,Gary Kurtz,Star Wars,1977
359,,,,Herbert Ross and Arthur Laurents,The Turning Point,1977
360,,,,,,1978
361,,,,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",The Deer Hunter,1978
362,,,,Jerome Hellman,Coming Home,1978
363,,,,Warren Beatty,Heaven Can Wait,1978
364,,,,Alan Marshall and David Puttnam,Midnight Express,1978
365,,,,Paul Mazursky and Anthony Ray,An Unmarried Woman,1978
366,,,,,,1979
367,,,,Stanley R. Jaffe,Kramer vs. Kramer,1979
368,,,,Robert Alan Aurthur,All That Jazz,1979
369,,,,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",Apocalypse Now,1979
370,,,,Peter Yates,Breaking Away,1979
371,,,,Tamara Asseyev and Alex Rose,Norma Rae,1979
372,,,,,,1980
373,Ordinary People,,,Ronald L. Schwary,,1980
374,Coal Miner's Daughter,,,Bernard Schwartz,,1980
375,The Elephant Man,,,Jonathan Sanger,,1980
376,Raging Bull,,,Irwin Winkler and Robert Chartoff,,1980
377,Tess,,,Claude Berri and Timothy Burrill,,1980
378,,,,,,1981
379,Chariots of Fire,,,David Puttnam,,1981
380,Atlantic City,,,Denis Héroux,,1981
381,On Golden Pond,,,Bruce Gilbert,,1981
382,Raiders of the Lost Ark,,,Frank Marshall,,1981
383,Reds,,,Warren Beatty,,1981
384,,,,,,1982
385,Gandhi,,,Richard Attenborough,,1982
386,E.T. the Extra-Terrestrial,,,Steven Spielberg and Kathleen Kennedy,,1982
387,Missing,,,Edward Lewis and Mildred Lewis,,1982
388,Tootsie,,,Sydney Pollack and Dick Richards,,1982
389,The Verdict,,,Richard D. Zanuck and David Brown,,1982
390,,,,,,1983
391,Terms of Endearment,,,James L. Brooks,,1983
392,The Big Chill,,,Michael Shamberg,,1983
393,The Dresser,,,Peter Yates,,1983
394,The Right Stuff,,,Irwin Winkler and Robert Chartoff,,1983
395,Tender Mercies,,,Philip S. Hobel,,1983
396,,,,,,1984
397,Amadeus,,,Saul Zaentz,,1984
398,The Killing Fields,,,David Puttnam,,1984
399,A Passage to India,,,John Brabourne and Richard B. Goodwin,,1984
400,Places in the Heart,,,Arlene Donovan,,1984
401,A Soldier's Story,,,"Norman Jewison, Ronald L. Schwary, and Patrick Palmer",,1984
402,,,,,,1985
403,Out of Africa,,,Sydney Pollack,,1985
404,The Color Purple,,,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",,1985
405,Kiss of the Spider Woman,,,David Weisman,,1985
406,Prizzi's Honor,,,John Foreman,,1985
407,Witness,,,Edward S. Feldman,,1985
408,,,,,,1986
409,Platoon,,,Arnold Kopelson,,1986
410,Children of a Lesser God,,,Burt Sugarman and Patrick J. Palmer,,1986
411,Hannah and Her Sisters,,,Robert Greenhut,,1986
