,title,rating,genre,summary,gross,release_year,category,nominee,oscar_year,winner,genre_1,genre_2,genre_3,runtime_min,Year,avg_cpi,cpi_2020,gross_adjusted
39,The Big Short,R,"Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",70259870,2015,Best Picture,The Big Short,2016,0,Biography, Comedy, Drama,130,2016,240.0071667,258.811167,75764566.53
40,Bridge of Spies,PG-13,"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",72313754,2015,Best Picture,Bridge of Spies,2016,0,Drama, History, Thriller,142,2016,240.0071667,258.811167,77979367.53
41,Mad Max: Fury Road,R,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",154058340,2015,Best Picture,Mad Max: Fury Road,2016,0,Action, Adventure, Sci-Fi,120,2016,240.0071667,258.811167,166128450.7
42,The Revenant,R,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,183637894,2015,Best Picture,The Revenant,2016,0,Action, Adventure, Drama,156,2016,240.0071667,258.811167,198025493.6
43,The Martian,PG-13,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",228433663,2015,Best Picture,The Martian,2016,0,Adventure, Drama, Sci-Fi,144,2016,240.0071667,258.811167,246330906.3
44,Whiplash,R,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,13092000,2014,Best Picture,Whiplash,2015,0,Drama, Music,,106,2015,237.017,258.811167,14295834.47
45,Boyhood,R,Drama,"The life of Mason, from early childhood to his arrival at college.",25379975,2014,Best Picture,Boyhood,2015,0,Drama,,,165,2015,237.017,258.811167,27713712.3
46,The Theory of Everything,PG-13,"Biography, Drama, Romance",A look at the relationship between the famous physicist Stephen Hawking and his wife.,35893537,2014,Best Picture,The Theory of Everything,2015,0,Biography, Drama, Romance,123,2015,237.017,258.811167,39194016.46
47,Birdman or ,R,"Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",42340598,2014,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),2015,1,Comedy, Drama,,119,2015,237.017,258.811167,46233897.06
48,Selma,PG-13,"Biography, Drama, History","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",52076908,2014,Best Picture,Selma,2015,0,Biography, Drama, History,128,2015,237.017,258.811167,56865479.41
49,The Grand Budapest Hotel,R,"Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",59100318,2014,Best Picture,The Grand Budapest Hotel,2015,0,Adventure, Comedy, Crime,99,2015,237.017,258.811167,64534705.41
50,The Imitation Game,PG-13,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",91125683,2014,Best Picture,The Imitation Game,2015,0,Biography, Drama, Thriller,114,2015,237.017,258.811167,99504864.04
51,American Sniper,R,"Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",350126372,2014,Best Picture,American Sniper,2015,0,Action, Biography, Drama,133,2015,237.017,258.811167,382321162.3
52,Nebraska,R,"Adventure, Comedy, Drama","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",17654912,2013,Best Picture,Nebraska,2014,0,Adventure, Comedy, Drama,115,2014,236.7361667,258.811167,19301184.27
53,Her,R,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",25568251,2013,Best Picture,Her,2014,0,Drama, Romance, Sci-Fi,126,2014,236.7361667,258.811167,27952420.5
54,Dallas Buyers Club,R,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",27298285,2013,Best Picture,Dallas Buyers Club,2014,0,Biography, Drama,,117,2014,236.7361667,258.811167,29843775.44
55,Philomena,PG-13,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",37707719,2013,Best Picture,Philomena,2014,0,Biography, Comedy, Drama,98,2014,236.7361667,258.811167,41223860.7
56,12 Years a Slave,R,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",56671993,2013,Best Picture,12 Years a Slave,2014,1,Biography, Drama, History,134,2014,236.7361667,258.811167,61956501.4
57,Captain Phillips,PG-13,"Action, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",107100855,2013,Best Picture,Captain Phillips,2014,0,Action, Biography, Crime,134,2014,236.7361667,258.811167,117087716.9
58,The Wolf of Wall Street,R,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",116900694,2013,Best Picture,The Wolf of Wall Street,2014,0,Biography, Comedy, Crime,180,2014,236.7361667,258.811167,127801364.1
59,American Hustle,R,"Crime, Drama","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",150117807,2013,Best Picture,American Hustle,2014,0,Crime, Drama,,138,2014,236.7361667,258.811167,164115882.1
60,Gravity,PG-13,"Sci-Fi, Thriller",Two astronauts work together to survive after an accident leaves them stranded in space.,274092705,2013,Best Picture,Gravity,2014,0,Sci-Fi, Thriller,,91,2014,236.7361667,258.811167,299651100.4
61,Amour,PG-13,Drama,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",6739492,2012,Best Picture,Amour,2013,0,Drama,,,127,2013,232.9570833,258.811167,7487455.478
62,Beasts of the Southern Wild,PG-13,"Adventure, Drama, Fantasy","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",12795746,2012,Best Picture,Beasts of the Southern Wild,2013,0,Adventure, Drama, Fantasy,93,2013,232.9570833,258.811167,14215845.72
63,Zero Dark Thirty,R,"Drama, History, Thriller","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",95720716,2012,Best Picture,Zero Dark Thirty,2013,0,Drama, History, Thriller,157,2013,232.9570833,258.811167,106344009.2
64,Life of Pi,PG,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",124987023,2012,Best Picture,Life of Pi,2013,0,Adventure, Drama, Fantasy,127,2013,232.9570833,258.811167,138858354.6
