,title,runtime,rating,genre,summary,gross,year
66,Philomena,98 min,PG-13,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.","37,707,719",2013
67,The Wolf of Wall Street,180 min,R,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","116,900,694",2013
68,Argo,120 min,R,"Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","136,025,503",2012
69,Beasts of the Southern Wild,93 min,PG-13,"Adventure, Drama, Fantasy","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","12,795,746",2012
70,Zero Dark Thirty,157 min,R,"Drama, History, Thriller","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","95,720,716",2012
71,Amour,127 min,PG-13,Drama,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","6,739,492",2012
72,Silver Linings Playbook,122 min,R,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","132,092,958",2012
73,Lincoln,150 min,PG-13,"Biography, Drama, History","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.","182,207,973",2012
74,Life of Pi,127 min,PG,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","124,987,023",2012
75,Les Misérables,158 min,PG-13,"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","148,809,770",2012
76,Django Unchained,165 min,R,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","162,805,434",2012
77,The Artist,100 min,PG-13,"Comedy, Drama, Romance",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"44,671,682",2011
78,The Tree of Life,139 min,PG-13,"Drama, Fantasy","The story of a family in Waco, Texas in The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.","13,303,319",2011
79,The Descendants,115 min,R,"Comedy, Drama",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,"82,584,160",2011
80,Extremely Loud & Incredibly Close,129 min,PG-13,"Adventure, Drama, Mystery","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.","31,847,881",2011
81,The Help,146 min,PG-13,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","169,708,112",2011
82,Hugo,126 min,PG,"Adventure, Drama, Family","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.","73,864,507",2011
83,Midnight in Paris,94 min,PG-13,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","56,816,662",2011
84,Moneyball,133 min,PG-13,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"75,605,492",2011
85,War Horse,146 min,PG-13,"Action, Adventure, Drama",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,"79,884,879",2011
86,The King's Speech,118 min,R,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","138,797,449",2010
87, Hours,94 min,R,"Biography, Drama","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","18,335,230",2010
88,Black Swan,108 min,R,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","106,954,678",2010
89,The Fighter,116 min,R,"Action, Biography, Drama","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","93,617,009",2010
90,Inception,148 min,PG-13,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","292,576,195",2010
91,The Kids Are All Right,106 min,R,"Comedy, Drama, Romance",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,"20,811,365",2010
92,The Social Network,120 min,PG-13,"Biography, Drama","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","96,962,694",2010
93,Toy Story ,103 min,G,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","415,004,880",2010
94,True Grit,110 min,PG-13,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"171,243,005",2010
95,The Hurt Locker,131 min,R,"Drama, Thriller, War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","17,017,811",2008
96,A Serious Man,106 min,R,"Comedy, Drama","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.","9,190,525",2009
97,An Education,100 min,PG-13,Drama,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.","12,574,715",2009
98,Avatar,162 min,PG-13,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"760,507,625",2009
