,title,runtime,rating,genre,summary,gross,year
10,In the Heat of the Night,110 min,Approved,"Drama, Mystery, Thriller","A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.","24,379,978",1967
11,Bonnie and Clyde,111 min,R,"Action, Biography, Crime","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",,1967
12,Doctor Dolittle,152 min,Approved,"Adventure, Comedy, Family","After the animal communicating veterinarian goes too far for his clientele, he and his friends escape their hometown to the sea in search of the Great Pink Sea Snail.","13,516,000",1967
13,The Graduate,106 min,PG,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.,"104,945,305",1967
14,Guess Who's Coming to Dinner,108 min,Approved,"Comedy, Drama",A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,"56,700,000",1967
15,A Man for All Seasons,120 min,G,"Biography, Drama, History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.","28,350,000",1966
16,Alfie,114 min,PG,"Comedy, Drama",An unrepentant ladies' man gradually begins to understand the consequences of his lifestyle.,"18,871,300",1966
17,The Russians Are Coming the Russians Are Coming,126 min,Unrated,"Comedy, War","Without hostile intent, a Soviet submarine runs aground off New England. Men are sent for a boat, but many villagers go into a tizzy, risking bloodshed.","21,693,114",1966
18,The Sand Pebbles,182 min,PG-13,"Adventure, Drama, Romance","In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.",,1966
19,Who's Afraid of Virginia Woolf,131 min,Not Rated,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",,1966
20,The Sound of Music,172 min,G,"Biography, Drama, Family",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"163,214,286",1965
21,Darling,128 min,TV-MA,"Drama, Romance",Beautiful but amoral model Diana Scott sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,,1965
22,Doctor Zhivago,197 min,PG-13,"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","111,722,000",1965
23,Ship of Fools,149 min,Not Rated,"Drama, Romance, War",A varied group of passengers boarding a ship bound for pre-WWII Germany represents a microcosm of early 1930s society.,,1965
24,A Thousand Clowns,118 min,Unrated,"Comedy, Drama, Romance","A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward.","5,232,000",1965
25,My Fair Lady,170 min,G,"Drama, Family, Musical","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.","72,000,000",1964
26,Becket,148 min,PG-13,"Biography, Drama, History","King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.",,1964
27,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min,PG,"Comedy, War","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","275,902",1964
28,Mary Poppins,139 min,G,"Comedy, Family, Fantasy","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","102,272,727",1964
29,Zorba the Greek,142 min,Not Rated,"Comedy, Drama","An uptight English writer travelling to Crete, on a matter of business, finds his life changed forever when he meets the gregarious Alexis Zorba.",,1964
30,Tom Jones,129 min,Not Rated,"Adventure, Comedy, History",The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.,"37,600,000",1963
31,America America,174 min,Approved,Drama,A young Greek stops at nothing to secure a passage to America.,,1963
32,Cleopatra,192 min,G,"Biography, Drama, History",Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,"57,777,778",1963
33,How the West Was Won,164 min,G,Western,"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.","46,500,000",1962
34,Lilies of the Field,94 min,Unrated,Drama,A travelling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.,,1963
35,Lawrence of Arabia,218 min,Approved,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","44,824,144",1962
36,The Longest Day,178 min,G,"Action, Drama, History","The events of D-Day, told on a grand scale from both the Allied and German points of view.","39,100,000",1962
37,The Music Man,151 min,G,"Comedy, Family, Musical",Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.,"14,953,846",1962
38,Mutiny on the Bounty,178 min,Not Rated,"Adventure, Drama, History","In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.","13,680,000",1962
39,To Kill a Mockingbird,129 min,Approved,"Crime, Drama","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",,1962
40,West Side Story,153 min,Approved,"Crime, Drama, Musical","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","43,656,822",1961
41,Fanny,134 min,Approved,"Drama, Romance","Young Marius dreams of leaving his dull provincial life and seeing the world. When the beautiful Fanny declares her adoration for him, Marius must choose between an adventurous life at sea and the grandest adventure of all: love.","9,996,178",1961
42,The Guns of Navarone,158 min,Not Rated,"Action, Adventure, Drama","A team of Allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","28,900,000",1961
43,The Hustler,134 min,Not Rated,"Drama, Sport",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"8,284,000",1961
44,Judgment at Nuremberg,179 min,Approved,"Drama, War","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",,1961
45,The Apartment,125 min,Approved,"Comedy, Drama, Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","18,600,000",1960
46,The Alamo,162 min,Passed,"Adventure, Drama, History","In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.","17,262,932",1960
47,Elmer Gantry,146 min,Approved,Drama,"A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.","11,336,000",1960
48,Sons and Lovers,103 min,Approved,Drama,A young man with artistic talent lives in a close-knit coal-mining town and finds himself inhibited by his emotionally manipulative mother.,,1960
49,The Sundowners,133 min,Passed,Drama,"In Australia's Outback during the early twentieth century, the impoverished Carmody family lives a nomadic life out of their wagon, but the mom and son want to settle, while the dad is against it.",,1960
50,Ben-Hur,212 min,G,"Adventure, Drama","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","74,700,000",1959
51,Anatomy of a Murder,161 min,Not Rated,"Drama, Mystery","An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","11,900,000",1959
52,The Diary of Anne Frank,180 min,Approved,"Biography, Drama, Family","During World War II, a teenage Jewish girl named Anne Frank and her family are forced into hiding in the Nazi-occupied Netherlands.","5,014,000",1959
53,The Nun's Story,149 min,Not Rated,Drama,"After leaving a wealthy Belgian family to become a nun, Sister Luke struggles with her devotion to her vows during crisis, disappointment, and World War II.","12,800,000",1959
54,Room at the Top,115 min,Not Rated,"Drama, Romance",An ambitious young accountant plots to wed a wealthy factory owner's daughter despite falling in love with a married older woman.,,1958
55,Gigi,115 min,G,"Comedy, Musical, Romance","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.",,1958
56,Auntie Mame,143 min,Approved,"Comedy, Drama, Romance",An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.,"23,300,000",1958
57,Cat on a Hot Tin Roof,108 min,Not Rated,Drama,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,"17,570,324",1958
58,The Defiant Ones,96 min,Not Rated,"Crime, Drama","Two escaped convicts chained together, white and black, must learn to get along in order to elude capture.",,1958
59,Separate Tables,100 min,Approved,"Drama, Romance","The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables.""","7,400,000",1958
60,The Bridge on the River Kwai,161 min,PG,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","44,908,000",1957
61,Peyton Place,157 min,Approved,"Drama, Romance",A peaceful New England town hides secrets and scandals.,"25,600,000",1957
62,Sayonara,147 min,Not Rated,"Drama, Romance",A US Air Force major in Kobe confronts his own opposition to marriages between American servicemen and Japanese women when he falls for a beautiful performer.,"26,300,000",1957
63, Angry Men,96 min,Approved,"Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"4,360,000",1957
64,Witness for the Prosecution,116 min,Approved,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"8,175,000",1957
65,Around the World in  Days,175 min,G,"Adventure, Comedy, Family",A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,"42,000,000",1956
66,Friendly Persuasion,137 min,Passed,"Drama, Family, Romance",The pacifist attitude of a Quaker family is tested as a result of the American Civil War.,,1956
67,Giant,201 min,G,"Drama, Western",Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,,1956
68,The King and I,133 min,G,"Biography, Drama, Musical",A widow accepts a job as a live-in governess to the King of Siam's children.,"21,300,000",1956
69,The Ten Commandments,220 min,G,"Adventure, Drama, Family","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.","93,740,000",1956
70,Marty,90 min,Not Rated,"Drama, Romance",A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,,1955
71,Love Is a Many-Splendored Thing,102 min,Approved,"Biography, Drama, Romance",A widowed Chinese-English doctor falls in love with a married American correspondent in Hong Kong during China's Communist revolution.,,1955
72,Mister Roberts,123 min,Passed,"Comedy, Drama, War","In the waning days of World War II, the cargo officer of a Navy supply ship chafes at its role far from the action in the Pacific's backwater areas, his frustration rising when its captain denies the crew liberty over petty irritations.","21,200,000",1955
73,Picnic,115 min,Approved,"Drama, Romance",Emotions are ignited amongst the complacent townsfolk when a handsome drifter arrives in a small Kansas community on the morning of the Labour Day picnic.,,1955
74,The Rose Tattoo,117 min,Unrated,"Comedy, Drama, Romance",A Sicilian seamstress who idolizes her husband must deal with several family crises upon his sudden death.,,1955
75,On the Waterfront,108 min,Approved,"Crime, Drama, Thriller","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","9,600,000",1954
76,The Caine Mutiny,124 min,Not Rated,"Drama, War","When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.","21,750,000",1954
77,The Country Girl,104 min,Unrated,"Drama, Music","A director hires an alcoholic has-been and strikes up a stormy relationship with the actor's wife, who he believes is the cause of all the man's problems.",,1954
78,Seven Brides for Seven Brothers,102 min,Approved,"Comedy, Drama, Musical","In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.","9,403,000",1954
79,Three Coins in the Fountain,102 min,Approved,"Drama, Romance","Three American women working in Rome, Italy, share a spacious apartment and the desire to find love and marriage, each experiencing a few bumps in their journeys to romance.",,1954
80,From Here to Eternity,118 min,Passed,"Drama, Romance, War","At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.","30,500,000",1953
81,Julius Caesar,120 min,Not Rated,"Drama, History",The growing ambition of Julius Caesar is a source of major concern to his close friend Brutus. Cassius persuades him to participate in his plot to assassinate Caesar but they have both sorely underestimated Mark Antony.,,1953
82,The Robe,135 min,Unrated,Drama,"In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.","36,000,000",1953
83,Roman Holiday,118 min,Passed,"Comedy, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,,1953
84,Shane,118 min,Not Rated,"Drama, Western","A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.","20,000,000",1953
85,The Greatest Show on Earth,152 min,Passed,"Drama, Family, Romance","The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.","36,000,000",1952
86,High Noon,85 min,PG,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.","9,450,000",1952
87,Ivanhoe,106 min,Approved,"Adventure, Drama, Romance",A knight seeks to free the captive King Richard and put him back on the throne.,,1952
88,Moulin Rouge,119 min,Not Rated,"Biography, Drama, Music",Fictional account of French artist Henri de Toulouse-Lautrec.,"11,810,000",1952
89,The Quiet Man,129 min,Passed,"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.","10,550,000",1952
90,An American in Paris,114 min,Passed,"Drama, Musical, Romance",Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,"4,500,000",1951
91,Decision Before Dawn,119 min,Not Rated,"Drama, War","As the US Army approaches Nazi Germany, they recruit German prisoners to spy behind German lines.",,1951
92,A Place in the Sun,122 min,Passed,"Drama, Romance",A poor boy gets a job working for his rich uncle and ends up falling in love with two women.,,1951
93,Quo Vadis,171 min,Not Rated,"Biography, Drama, History","After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.","24,291,740",1951
94,A Streetcar Named Desire,122 min,PG,Drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,"8,000,000",1951
95,All About Eve,138 min,Passed,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"10,177",1950
96,Born Yesterday,103 min,Not Rated,"Comedy, Drama, Romance","A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results.",,1950
97,Father of the Bride,92 min,Not Rated,"Comedy, Romance","The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.",,1950
98,King Solomon's Mines,103 min,Passed,"Action, Adventure, Romance",Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,,1950
99,Sunset Blvd,110 min,Passed,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,,1950
0,All the King's Men,110 min,Approved,"Drama, Film-Noir","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",,1949
1,Battleground,118 min,Approved,"Action, Drama, History","True tale about a squad of the 101st Airborne Division coping with being trapped by the Germans in the besieged city of Bastogne, Belgium during the Battle of the Bulge in December of 1944.","10,293,960",1949
2,The Heiress,115 min,Not Rated,"Drama, Romance",A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.,,1949
3,A Letter to Three Wives,103 min,Passed,"Comedy, Drama, Romance","A letter is addressed to three wives from their ""best friend"" Addie Ross, announcing that she is running away with one of their husbands - but she does not say which one.",,1949
4,Twelve O'Clock High,132 min,Not Rated,"Drama, War",A hard-as-nails general (Gregory Peck as General Savage) takes over a B-17 bomber unit suffering from low morale and whips them into fighting shape.,,1949
5,Hamlet,154 min,Approved,Drama,"Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",,1948
6,Johnny Belinda,102 min,Unrated,Drama,"A kind doctor volunteers to tutor a deaf-mute woman, but scandal starts to swirl when his pupil is raped and falls pregnant.",,1948
7,The Red Shoes,135 min,Not Rated,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"10,900,000",1948
8,The Snake Pit,108 min,Approved,"Drama, Mystery",A detailed chronicle of a woman during her stay in a mental institution.,"10,000,000",1948
9,The Treasure of the Sierra Madre,126 min,Passed,"Adventure, Drama, Western",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"5,014,000",1948
10,Gentleman's Agreement,118 min,Not Rated,"Drama, Romance","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.",,1947
11,The Bishop's Wife,109 min,Not Rated,"Comedy, Drama, Fantasy",A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,,1947
12,Crossfire,86 min,Approved,"Crime, Drama, Film-Noir","A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?","1,300,000",1947
13,Great Expectations,118 min,Approved,"Adventure, Drama, Mystery","A humble orphan boy in 1810s Kent is given the opportunity to go to London and become a gentleman, with the help of an unknown benefactor.",,1946
14,Miracle on th Street,96 min,Not Rated,"Comedy, Drama, Family","After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.","2,650,000",1947
15,The Best Years of Our Lives,170 min,Approved,"Drama, Romance, War","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","23,650,000",1946
16,Henry V,137 min,Not Rated,"Biography, Drama, History","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",,1944
17,It's a Wonderful Life,130 min,PG,"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,,1946
18,The Razor's Edge,145 min,Approved,"Drama, Romance","An adventuresome young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.","5,000,000",1946
19,The Yearling,128 min,Approved,"Drama, Family, Western","A boy persuades his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?","5,200,000",1946
20,The Lost Weekend,101 min,Passed,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,"9,460,000",1945
21,Anchors Aweigh,140 min,Passed,"Comedy, Fantasy, Musical",A pair of sailors on leave try to help a movie extra become a singing star.,,1945
22,The Bells of St Mary's,126 min,Unrated,Drama,"At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.","21,300,000",1945
23,Mildred Pierce,111 min,Approved,"Crime, Drama, Film-Noir",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,,1945
24,Spellbound,111 min,Approved,"Film-Noir, Mystery, Romance",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,"7,000,000",1945
25,Going My Way,126 min,Passed,"Comedy, Drama, Music","When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.","16,300,000",1944
26,Double Indemnity,107 min,Passed,"Crime, Drama, Film-Noir","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","5,720,000",1944
27,Gaslight,114 min,Passed,"Crime, Drama, Mystery","Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane.",,1944
28,Since You Went Away,177 min,Approved,"Drama, Romance, War","With her husband away to fight in World War II, a housewife must care for their two daughters alone.",,1944
29,Wilson,154 min,Passed,"Biography, Drama, History",A chronicle of the political career of US President Woodrow Wilson.,"2,000,000",1944
30,Casablanca,102 min,PG,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"1,024,560",1942
31,For Whom the Bell Tolls,170 min,Passed,"Adventure, Drama, History","During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.","17,800,000",1943
32,Heaven Can Wait,112 min,Passed,"Comedy, Drama, Fantasy","An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld.",,1943
33,The Human Comedy,117 min,Passed,"Comedy, Drama, Family",Teenager Homer Macauley stays at home in small-town Ithaca to support his family while his older brother Marcus prepares to go to war.,,1943
34,In Which We Serve,115 min,Not Rated,"Drama, War","This ""story of a ship"", the British destroyer H.M.S. Torrin, is told in flashbacks by survivors as they cling to a life raft.","450,000",1942
35,Madame Curie,124 min,Passed,"Biography, Drama, Romance","Despite himself, accomplished physicist and avowed bachelor Pierre Curie falls for brilliant student Marie, and together they embark on the discovery of radium.",,1943
36,The More the Merrier,104 min,Passed,Comedy,"During the World War II housing shortage in Washington, two men and a woman share a single apartment and the older man plays Cupid to the other two.",,1943
37,The Ox-Bow Incident,75 min,Passed,"Drama, Western","When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.","1,635,000",1942
38,The Song of Bernadette,156 min,Approved,"Biography, Drama","14-year-old Bernadette Soubirous, living in a small town in the south of 1850s France, claims to have seen a divine vision, prompting extreme skepticism, concern from her family, and religious and political turmoil.",,1943
39,Watch on the Rhine,114 min,Approved,"Drama, Thriller","A German-born engineer, his American wife and their children travel from Mexico to the United States to visit her family but their plans are complicated by a Romanian count.",,1943
40,Mrs Miniver,134 min,Not Rated,"Drama, Romance, War",A British family struggles to survive the first months of World War II.,"13,500,000",1942
41,th Parallel,123 min,Not Rated,"Drama, Thriller, War","A World War II U-boat crew are stranded in northern Canada. To avoid internment, they must make their way to the border and get into the still-neutral U.S.",,1941
42,Kings Row,127 min,Passed,Drama,The dark side and hypocrisy of provincial American life is seen through the eyes of five children as they grow to adulthood at the turn of the century.,,1942
43,The Magnificent Ambersons,88 min,Not Rated,"Drama, Romance",The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,,1942
44,The Pied Piper,87 min,Approved,"Drama, War","While traveling in France during the Nazi invasion of 1940, an Englishman is entrusted with the care of a group of refugee children.",,1942
45,The Pride of the Yankees,128 min,Passed,"Biography, Drama, Romance",The story of the life and career of famed baseball player Lou Gehrig.,,1942
46,Random Harvest,126 min,Approved,"Drama, Romance","An amnesiac World War I veteran falls in love with a music hall star, only to suffer an accident which restores his original memories but erases his post-war life.","10,137,000",1942
47,The Talk of the Town,118 min,Passed,"Comedy, Drama, Romance",An escaped prisoner has to prove his innocence to a stuffy law professor with the help of a spirited school teacher.,,1942
48,Wake Island,88 min,Passed,"Action, Drama, War","December, With no hope of relief or re-supply, a small band of United States Marines tries to keep the Japanese Navy from capturing their island base.",,1942
49,Yankee Doodle Dandy,126 min,Passed,"Biography, Drama, Family","The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.","11,800,000",1942
50,How Green Was My Valley,118 min,Approved,"Drama, Family","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",,1941
51,Blossoms in the Dust,99 min,PG,"Biography, Drama, Romance","After losing her young son, Edna Gladney opposes the unfair laws discriminating against children whose parents are unknown, and opens an orphanage for those children.",,1941
52,Citizen Kane,119 min,Passed,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","1,585,634",1941
53,Here Comes Mr Jordan,94 min,Passed,"Comedy, Fantasy, Romance","Boxer Joe Pendleton dies 50 years too soon due to a heavenly mistake, and is given a new life as a millionaire playboy.",,1941
54,Hold Back the Dawn,116 min,Approved,"Drama, Romance","Stopped in Mexico by U.S. Immigration, Georges Iscovescu hopes to get into the country by marrying a citizen.",,1941
55,The Little Foxes,116 min,Passed,"Drama, Romance","The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century.",,1941
56,The Maltese Falcon,100 min,Approved,"Crime, Film-Noir, Mystery","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.","2,108,060",1941
57,One Foot in Heaven,108 min,Passed,"Biography, Drama",Episodic look at the life of a minister and his family as they move from one parish to another.,,1941
58,Sergeant York,134 min,Approved,"Biography, Drama, History","A Tennessee farmer and marksman is drafted in World War I, and struggles with his pacifist inclinations before becoming one of the most celebrated war heroes.","16,400,000",1941
59,Suspicion,99 min,Approved,"Film-Noir, Mystery, Thriller","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.","4,500,000",1941
60,Rebecca,130 min,Approved,"Drama, Film-Noir, Mystery",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"4,360,000",1940
61,"All This, and Heaven Too",141 min,Passed,"Drama, Romance",A duchess' irrational behavior toward her children's governess triggers tragic events that will change her family's lives forever.,,1940
62,Foreign Correspondent,120 min,Passed,"Action, Romance, Thriller","On the eve of World War II, a young American reporter tries to expose enemy agents in London.","3,484,588",1940
63,The Grapes of Wrath,129 min,G,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.","55,000",1940
64,The Great Dictator,125 min,Passed,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"288,475",1940
65,Kitty Foyle,108 min,Not Rated,"Drama, Romance","A hard-working, white-collar girl from a middle-class family meets and falls in love with a young socialite, but she soon clashes with his family.",,1940
66,The Letter,95 min,Approved,"Crime, Drama, Film-Noir","The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing.",,1940
67,The Long Voyage Home,105 min,Not Rated,"Drama, War",A merchant ship's crew tries to survive the loneliness of the sea and the coming of war.,,1940
68,Our Town,90 min,Not Rated,"Drama, Family, Romance",Change comes slowly to a small New Hampshire town in the early 20th century.,,1940
69,The Philadelphia Story,112 min,Passed,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",,1940
70,Gone with the Wind,238 min,Approved,"Drama, Romance, War",The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,"198,676,459",1939
71,Dark Victory,104 min,Unrated,"Drama, Romance","A young socialite is diagnosed with an inoperable brain tumor, and must decide whether or not she'll meet her final days with dignity.",,1939
72,"Goodbye, Mr Chips",114 min,Approved,"Drama, Romance",An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.,,1939
73,Love Affair,88 min,Passed,"Drama, Romance",A French playboy and an American former nightclub singer fall in love aboard a ship.,,1939
74,Mr Smith Goes to Washington,129 min,Not Rated,"Comedy, Drama","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","9,600,000",1939
75,Ninotchka,110 min,Passed,"Comedy, Romance",A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.,"1,187,000",1939
